           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
               19             20.5                2         -815.885         -915.708          22.6874          279.902         -381.994          31.5286
             19.5             20.5                2         -789.712         -832.943          79.5428          268.394         -458.666          38.8285
               20             20.5                2         -760.584         -733.855          127.494          246.884         -514.388          65.5364
             20.5             20.5                2          -728.71          -624.66          164.333          216.297         -546.824          110.101
               21             20.5                2         -694.022         -511.379          189.228          178.956         -555.091          168.206
             21.5             20.5                2         -656.227         -398.779          203.135          138.141         -540.797          233.398
               22             20.5                2         -614.664         -290.311          207.178          96.6812         -505.416          299.709
             22.5             20.5                2         -568.419         -188.985          202.609           57.279          -450.57          360.882
               23             20.5                2         -516.798         -97.2677          191.146          22.2453         -379.245          410.816
             23.5             20.5                2         -459.991         -16.3164          174.752         -7.29638         -295.836          445.783
               24             20.5                2         -398.469          52.6494          154.799         -30.6831         -204.097          462.951
             24.5             20.5                2         -333.154          107.994          132.452         -47.4336         -108.131           459.67
               25             20.5                2         -265.951          149.297          108.944         -57.9817         -12.9168          436.056
             25.5             20.5                2         -199.017          176.963          85.2578         -63.1822          77.1052          394.052
               26             20.5                2         -134.552          191.353          62.1898         -63.8292          157.822          335.912
             26.5             20.5                2         -75.2673          192.551          40.5921         -60.6528          224.309          264.258
               27             20.5                2         -23.1868          182.686          21.0904         -54.8784           273.74          184.226
             27.5             20.5                2          20.2134          163.819           4.1666         -47.4759          304.245          100.572
               28             20.5                2          53.8379          138.043          -9.7696         -39.2675          314.625          17.9414
             28.5             20.5                2          76.2898          107.512         -20.1319         -31.0312          303.148          -58.179
               29             20.5                2          88.6074          75.1744         -27.0502         -23.3973           272.81         -123.746
             29.5             20.5                2          91.6447          43.2649         -30.5929         -16.7762          226.141         -175.462
               30             20.5                2          86.6047          13.8178          -30.942         -11.4569          166.425         -210.641
             30.5             20.5                2          74.9718         -11.0965         -28.3594         -7.66253          97.8914         -226.632
               31             20.5                2          59.3008         -30.5821         -23.6531         -5.25537          26.3972         -224.727
             31.5             20.5                2           41.543         -44.0281         -17.4812         -4.09079         -43.1069         -206.048
               32             20.5                2          23.5931         -51.1212         -10.5618         -3.95731         -105.513         -172.413
             32.5             20.5                2          7.29757         -52.0738         -3.71913          -4.5344         -155.672         -127.032
               33             20.5                2         -6.17614         -48.0539          2.35042         -5.42587         -190.833         -74.6884
             33.5             20.5                2         -16.0831         -40.1084          7.11072         -6.30284          -208.93         -19.5825
               34             20.5                2         -21.9306         -29.3994            10.09         -6.84091         -208.345          33.7365
             34.5             20.5                2         -23.8874         -17.4072          11.0898         -6.77511          -189.86          80.6663
               35             20.5                2         -22.6661         -5.45537          10.2437         -5.98914           -156.4          117.976
             35.5             20.5                2         -19.0368          5.40574          7.78685         -4.44702         -111.121           143.16
               36             20.5                2         -13.8904          14.1778          4.07173         -2.18254         -57.8668          153.803
             36.5             20.5                2         -8.34261          20.3236        -0.275388          0.57961         -2.07294          150.031
               37             20.5                2          -3.2679          23.6868         -4.65733          3.55335          51.4135          133.175
             37.5             20.5                2         0.671783          24.3075          -8.5325          6.42157          98.2667          105.125
             -2.5               21                2          1.08969         -27.8784          57.8363           26.123         -211.864         -105.095
               -2               21                2          2.39625         -17.2583           62.733          60.8487         -192.455         -196.849
             -1.5               21                2          1.62636         -3.95499          60.3092          90.2842         -152.566         -271.316
               -1               21                2         -1.52002          10.0497          50.2681          110.845         -94.5024         -319.506
             -0.5               21                2         -6.78689          22.3065          33.5457          119.991         -23.8576         -335.573
                0               21                2         -13.4147          30.7963          11.9903          117.072          52.3507         -318.763
              0.5               21                2         -20.4305          33.8938          -12.426          102.117          127.276         -270.006
                1               21                2          -26.437          30.0536         -37.2458          75.6469          192.817         -191.633
              1.5               21                2         -29.9338           19.378         -59.7167          40.7195           242.21         -92.5507
                2               21                2         -29.6478          2.77958         -77.5772         0.644845          270.682          17.8632
              2.5               21                2         -24.5013         -18.1836         -88.8919         -41.0858          274.851           129.85
                3               21                2         -13.2613         -41.0764         -91.3884         -80.2323          251.042          231.504
              3.5               21                2          3.64525         -62.5224          -85.028         -113.267          202.839          313.594
                4               21                2           25.624          -79.393         -69.8568         -137.395          133.584          368.779
              4.5               21                2          51.5029         -88.3991         -46.4231         -150.266          48.1396          391.054
                5               21                2          79.1976         -86.1597         -16.0364         -150.159          -46.353          376.412
              5.5               21                2           105.95         -71.5218          18.7482         -137.931         -141.272          328.246
                6               21                2          128.973         -43.7995          55.6118         -114.566         -229.023          250.365
              6.5               21                2          144.884         -2.90898          91.8983         -81.4952          -301.43          148.193
                7               21                2          150.458          49.0411          124.711         -41.5125         -351.608          31.1762
              7.5               21                2          143.647          108.409          151.802          2.23968         -376.078         -90.4784
                8               21                2          122.685          171.253          171.233          47.0276         -372.538         -207.556
              8.5               21                2          85.4734          232.479          180.769          90.0151         -338.839         -309.877
                9               21                2          32.7491          286.571          179.843          128.954         -278.654         -390.158
              9.5               21                2         -34.1278          328.807          168.392          162.457         -196.626         -443.889
               10               21                2         -113.321          354.916          146.673          189.685         -98.1279          -468.39
             10.5               21                2          -202.73          359.456          114.787          209.858           10.503         -460.936
               11               21                2          -297.96          341.929          75.0727          223.993          120.753         -426.742
             11.5               21                2         -395.539          301.679          29.3027          232.897          225.814         -370.109
               12               21                2         -491.898          238.851         -20.4724          237.542           318.98         -296.398
             12.5               21                2         -583.266          154.924         -71.6157          239.118          393.551         -212.565
               13               21                2         -667.211          54.7147         -121.292          239.035          446.521         -126.363
             13.5               21                2         -741.891         -57.6736         -166.857          238.318          475.438         -43.9375
               14               21                2         -805.644         -177.639         -205.189          237.922          477.987          28.7334
             14.5               21                2         -858.055         -299.286         -233.377          238.705          454.649          87.1339
               15               21                2         -899.766         -417.126         -249.546          241.213          408.183          129.441
             15.5               21                2         -931.229         -526.082         -252.054          245.805          341.177          154.927
               16               21                2         -952.583         -620.451         -239.356          252.612          256.641          163.885
             16.5               21                2         -964.532         -695.361         -211.854          261.137          159.314          159.204
               17               21                2         -967.697         -746.973         -171.286          270.204          54.4435          145.295
             17.5               21                2           -962.6          -772.64         -120.436          278.001         -52.4712          127.559
               18               21                2         -949.783          -771.19         -62.8565          282.314          -156.14           111.65
             18.5               21                2         -929.859         -743.572         -2.67324           280.85         -251.526          102.949
               19               21                2         -903.352          -692.22          55.9693          271.622         -334.016           105.81
             19.5               21                2         -870.842         -621.289          109.238          253.495         -399.761          122.779
               20               21                2          -832.94         -536.006          154.158           226.54         -446.043          154.089
             20.5               21                2         -790.078         -441.692          188.546          191.768         -470.755          198.168
               21               21                2         -742.602          -343.69          211.368          151.353         -473.077          251.265
             21.5               21                2         -690.871         -246.432          223.238          108.285         -454.491          308.001
               22               21                2         -634.922         -153.282           224.98          65.2066         -416.417            363.3
             22.5               21                2         -574.638         -67.2727          217.597          24.7304         -360.521          411.722
               23               21                2         -510.168          9.09657          202.702         -10.8219         -289.875          448.001
             23.5               21                2         -442.262          74.7177          182.339         -40.2822         -208.879          469.117
               24               21                2         -371.805           128.51          158.029         -62.8982         -121.362          472.776
             24.5               21                2         -300.092          169.096          131.156         -78.0726         -31.5483          456.874
               25               21                2         -229.034          196.369          103.244         -86.2224           55.688          421.987
             25.5               21                2          -160.57          211.016          75.5289         -88.2704          136.161          370.377
               26               21                2         -96.6548          213.671          49.0286         -85.1072          206.052          304.585
             26.5               21                2         -39.7541           204.76          24.8421         -77.5911          260.808          227.605
               27               21                2          8.63113          186.509          3.69062         -67.1903          298.192          144.592
             27.5               21                2          47.4674          161.003         -13.9124         -55.1026          316.887          60.2494
               28               21                2          76.0533          130.321         -27.5678         -42.3723          316.231         -20.8868
             28.5               21                2          93.3757          96.6464         -36.6947         -30.0416          295.159         -93.4085
               29               21                2          100.807          62.6176         -41.6346         -18.9078          257.026         -153.789
             29.5               21                2          99.4232          30.2493         -42.6267         -9.51529          204.656         -199.141
               30               21                2           90.594          1.34738         -40.0397         -2.25245          141.534         -227.229
             30.5               21                2           75.943         -22.2499         -34.3488          2.56517          72.0488          -235.92
               31               21                2          57.9885         -39.9636         -26.5852          5.16837          1.71946         -227.019
             31.5               21                2          38.6481         -51.3998         -17.5806          5.77645         -64.7933         -202.061
               32               21                2          19.7626         -56.4362         -8.21405           4.7011          -122.75         -163.244
             32.5               21                2          3.08874         -55.4546         0.551665          2.41479         -167.517         -114.098
               33               21                2         -10.3486         -49.7248          7.98232         -0.47996         -196.943         -59.4583
             33.5               21                2         -19.9065         -40.3551          13.5199         -3.48373         -209.461         -3.54016
               34               21                2         -25.1798         -28.5497          16.6849         -6.09815         -203.948           49.143
             34.5               21                2         -26.4273         -15.7844          17.3404         -7.89085         -181.599          94.2102
               35               21                2         -24.4308         -3.34136          15.7281         -8.63426         -145.535          128.761
             35.5               21                2         -20.0058           7.7678          12.1824         -8.21069         -99.0193          150.601
               36               21                2         -14.0804          16.5811          7.16069         -6.57835         -45.9513          157.646
             36.5               21                2         -7.79799          22.6184          1.42193         -3.97088          8.44723          150.386
               37               21                2         -2.05384           25.768         -4.32768        -0.719743            59.62          130.425
             37.5               21                2          2.46896          26.1026         -9.45601           2.7989          103.552          99.8646
             -2.5             21.5                2          4.45747         -21.1848          59.5907          26.1273         -202.087         -93.1668
               -2             21.5                2          4.35681         -10.7448          64.2654            61.01         -185.373         -179.224
             -1.5             21.5                2          2.05605          1.76957          61.5427          90.7813         -149.289         -249.878
               -1             21.5                2         -2.63131          14.4774             51.1          111.873         -95.7832         -296.775
             -0.5             21.5                2         -9.33874          25.1108          33.8497          121.713         -29.8893         -314.346
                0             21.5                2         -17.2341          31.8428          11.6297          119.578          41.9395         -301.652
              0.5             21.5                2         -25.2931          33.2081         -13.5922          105.405          113.377         -259.289
                1             21.5                2         -32.0696           27.813         -39.3562          79.5852          176.908         -189.066
              1.5             21.5                2         -36.0617          15.8432         -62.8689          45.0435          226.079         -98.9037
                2             21.5                2         -35.9998         -1.77208         -81.8136          4.97763          256.243          2.77327
              2.5             21.5                2         -30.8028         -23.5046         -94.1854         -37.2165          263.996           107.14
                3             21.5                2         -19.1978         -46.9923         -97.6061         -77.4134          245.572          203.422
              3.5             21.5                2         -1.60325          -68.995         -91.9425         -112.048          203.949           282.94
                4             21.5                2          21.4387         -86.4999         -77.1446         -138.286           141.91          338.764
              4.5             21.5                2          48.8395         -96.3207         -53.6595          -153.69          63.6487          365.096
                5             21.5                2          78.6366         -95.1418         -22.6927          -156.39         -24.5153          357.833
              5.5             21.5                2          108.132         -81.7666          13.2177         -147.035         -114.613          319.593
                6             21.5                2          134.613         -55.3993          51.7699         -126.407         -199.607          253.407
              6.5             21.5                2          154.783         -15.7423          90.3178         -95.7078         -271.873          163.728
                7             21.5                2          165.413          35.4306          125.909          -57.516         -324.761          58.7792
              7.5             21.5                2          164.342          94.8351          156.192         -14.8406          -354.65         -52.3004
                8             21.5                2          149.657          158.926          179.134          29.6879         -359.007         -161.215
              8.5             21.5                2          119.029          223.159          192.401           73.344         -335.357         -258.784
                9             21.5                2          72.8206          282.353          195.296          113.817         -286.596         -338.061
              9.5             21.5                2          11.9966           332.03          187.661          149.624         -216.616         -394.565
               10             21.5                2         -62.0377          368.099          169.685          179.806         -130.044         -425.427
             10.5             21.5                2           -147.8          385.384          141.415          203.456         -32.3349         -427.642
               11             21.5                2          -241.23          383.015          105.194          221.361          68.6107         -405.323
             11.5             21.5                2         -339.198          360.058          62.8195          234.165           166.47          -361.85
               12             21.5                2         -438.433          316.287          16.3843          242.689          254.937         -301.578
             12.5             21.5                2          -535.35          252.665         -31.4241          247.979          327.586         -230.301
               13             21.5                2          -627.21          173.337         -77.7461          251.348          381.207         -154.861
             13.5             21.5                2         -711.845          81.8571         -119.964          253.729          413.195         -80.6482
               14             21.5                2         -787.137         -17.7364         -155.065          255.943          421.091         -12.8757
             14.5             21.5                2         -851.912         -120.077         -180.359          258.674          405.064          44.3809
               15             21.5                2         -906.035         -220.065         -194.245          262.276          367.534          89.3337
             15.5             21.5                2         -949.278         -313.024         -195.394          266.855          310.868          121.246
               16             21.5                2          -981.12         -393.808         -182.621          272.205          237.904          140.316
             16.5             21.5                2         -1001.79         -458.076         -156.499          277.647          153.117          148.863
               17             21.5                2         -1011.59         -502.517         -118.739          282.013          61.4404          150.402
             17.5             21.5                2         -1010.85         -524.936         -71.9259          283.718         -31.9925          149.158
               18             21.5                2         -999.976         -524.439         -19.2841          280.998         -122.272          149.432
             18.5             21.5                2         -979.563         -501.899          35.4722          272.171         -204.749          155.189
               19             21.5                2         -950.178         -459.393          88.6074          255.888         -275.194          169.497
             19.5             21.5                2         -912.532         -400.413          136.648          231.558         -330.116          193.957
               20             21.5                2         -867.457         -329.357          176.852          199.578         -367.083          228.375
             20.5             21.5                2         -815.647         -250.779          207.121          161.093         -384.229          271.119
               21             21.5                2         -757.857         -169.362          226.331          118.205         -380.874          318.856
             21.5             21.5                2         -695.023         -89.0961          234.872          73.6728         -358.478           367.09
               22             21.5                2          -627.77         -13.1137          233.361          29.9648         -318.478           411.51
             22.5             21.5                2         -556.651          55.6943          222.627         -10.4115         -262.635           447.43
               23             21.5                2         -482.517          114.955          204.192          -45.194         -194.088          470.406
             23.5             21.5                2         -406.579          163.707          180.136         -73.2588         -117.155           478.15
               24             21.5                2          -330.07          201.063          152.083         -93.8425         -35.6519          468.939
             24.5             21.5                2         -254.602          225.934          121.591         -106.311          46.1795          441.255
               25             21.5                2         -182.079          238.523          90.3946         -111.122          123.686          396.149
             25.5             21.5                2         -114.226          239.761          59.9092         -109.297          193.024          336.182
               26             21.5                2         -52.7584          230.526          31.3118          -101.84          250.738          264.159
             26.5             21.5                2         0.107399          211.567          5.88268         -89.7584          292.722          183.405
               27             21.5                2          43.3697          185.155         -15.6271         -74.7409          317.344          99.0262
             27.5             21.5                2          76.4214           153.37         -32.7225         -58.1871          323.838          15.6117
               28             21.5                2          98.9432          118.241         -45.0579         -41.3341          312.067          -62.472
             28.5             21.5                2          110.309          81.9612         -52.1098         -25.4606           281.62         -129.966
               29             21.5                2          112.199          46.8215         -54.4412         -11.4754          236.145         -183.901
             29.5             21.5                2          105.903          14.5947         -52.4699        -0.014222          178.706         -221.836
               30             21.5                2          92.9451         -13.1646         -46.7519          8.47636          112.933         -242.008
             30.5             21.5                2          75.0857          -34.873         -37.9724          13.6334          43.3204         -242.825
               31             21.5                2          54.7818         -50.2854         -27.3424          15.8143         -25.0105         -226.584
             31.5             21.5                2          33.9021         -59.2391          -15.833          15.3395         -87.7314         -195.213
               32             21.5                2          14.2198          -61.816          -4.4466          12.6432         -140.509         -151.273
             32.5             21.5                2         -2.61645          -58.579          5.76303          8.36552         -179.256         -98.5814
               33             21.5                2         -15.7496         -50.8988          14.0715          3.30901         -202.432         -41.9799
             33.5             21.5                2         -24.6585         -39.9454          19.9374         -1.86313         -208.972          14.3401
               34             21.5                2         -29.0461          -26.965          22.9104         -6.48787          -198.26           65.934
             34.5             21.5                2         -29.2826         -13.4204          22.9423         -9.98769          -171.89          108.679
               35             21.5                2         -26.2359        -0.538783          20.3924         -12.0509         -133.169          140.033
             35.5             21.5                2         -20.7808            10.72          15.6977         -12.5018          -85.452          158.133
               36             21.5                2         -13.8962          19.4435           9.4197         -11.2474         -32.6854          161.246
             36.5             21.5                2         -6.75895          25.2268          2.42952         -8.55424           20.141          150.235
               37             21.5                2        -0.284827          28.0186         -4.48285         -4.81569          68.7763          126.981
             37.5             21.5                2           4.8245          27.9373         -10.6204        -0.479116          109.529          93.7952
             -2.5               22                2          8.28496         -15.1733          60.9628          25.1252         -193.183          -81.006
               -2               22                2           6.9698         -4.69528            65.69          59.8713         -179.327         -161.887
             -1.5               22                2          3.27645           7.3378          63.0027          89.8093         -147.109         -229.179
               -1               22                2         -2.89243          19.1235          52.5257          111.426         -98.1192         -275.111
             -0.5               22                2         -11.0776          28.5387          35.1081          122.136         -36.8512         -294.359
                0               22                2          -20.379          33.9102          12.5387          121.132          30.7803         -285.801
              0.5               22                2         -29.7227          33.8955         -13.2566          108.242          98.9442          -249.71
                1               22                2         -37.6133           27.209         -39.8608          83.6992          160.686         -187.391
              1.5               22                2         -42.5267          14.0893          -64.464          50.2352          209.838         -105.834
                2               22                2         -43.1736         -4.53769          -84.708          10.8749           241.86         -12.5621
              2.5               22                2         -38.4433         -27.1887         -98.5238         -31.1439          253.326          84.4845
                3               22                2         -26.9886         -51.5935         -103.432         -71.8904          240.373          175.605
              3.5               22                2         -9.18482         -74.6281         -99.1651         -107.813          205.388          252.647
                4               22                2          14.5106         -93.3809         -85.5413         -136.078          150.611          309.072
              4.5               22                2          43.1263          -104.75          -62.861         -154.202          79.5874           339.29
                5               22                2          74.8582         -105.459         -32.1651         -160.191         -2.15984          339.124
              5.5               22                2          107.084         -94.2331          4.08655         -154.453         -87.2984          310.466
                6               22                2          137.186         -70.1368          43.6653         -137.546         -169.338          255.621
              6.5               22                2          161.978         -32.6308          83.9991         -110.407         -241.196          178.136
                7               22                2          178.238          16.8731          122.129         -75.3337         -296.471          85.0791
              7.5               22                2          183.695           75.468          155.625         -35.1293         -331.415         -15.4322
                8               22                2          176.297          140.022          182.376          7.74519          -343.29         -115.985
              8.5               22                2          153.507          206.559          199.971          50.7484         -329.326         -208.363
                9               22                2          115.314          270.243          207.553          91.5696         -291.675         -285.973
              9.5               22                2          62.2911          326.854          204.833          128.672         -233.501           -344.4
               10               22                2         -4.57543          372.496          191.884          161.008         -158.703         -380.634
             10.5               22                2         -84.3848          402.287          168.648          187.578         -71.8662          -391.45
               11               22                2          -173.43          414.999          137.382          208.915          19.7432         -379.943
             11.5               22                2         -268.921           409.44          99.8339          225.475           110.32         -348.647
               12               22                2         -367.889          385.039           58.052           237.89              194         -300.973
             12.5               22                2          -466.96           342.26          14.6749          247.005          264.703         -241.619
               13               22                2          -563.16          284.557         -27.4781          253.964          319.076         -176.537
             13.5               22                2         -654.082          214.906         -65.8719          259.549          354.409         -110.385
               14               22                2         -737.266          136.725         -97.6533          264.389          368.146         -47.6364
             14.5               22                2         -810.935          54.7516         -120.346          268.969           360.14          8.04606
               15               22                2         -874.311         -26.4055         -132.563          273.473          332.413          54.8816
             15.5               22                2         -926.604         -102.563         -133.206           277.81          287.033           92.067
               16               22                2         -966.735         -169.198         -121.358          281.531          226.561          119.621
             16.5               22                2         -994.483         -222.494         -97.6784           283.88          155.116          139.254
               17               22                2         -1009.84         -259.597         -63.8033          283.775          77.2565          153.617
             17.5               22                2          -1012.9         -278.677          -22.107          279.881         -2.26917          165.875
               18               22                2         -1003.94         -279.026           24.499          270.851         -78.9292          179.175
             18.5               22                2         -983.527         -261.413          72.6906          255.534         -148.445          196.325
               19               22                2         -952.259         -227.601          119.123          233.127          -206.95          219.359
             19.5               22                2          -910.97         -180.514          160.675          203.508         -251.282          249.128
               20               22                2         -860.697         -123.839          194.852          167.374         -279.284          285.093
             20.5               22                2           -802.4         -61.4511          219.694          126.018          -289.34          325.565
               21               22                2         -737.205           2.6072          234.081          81.5255         -280.955          367.539
             21.5               22                2         -666.537          64.8634          238.281          36.4678         -255.601          407.267
               22               22                2         -591.503          122.521          232.791         -6.83432          -214.77          441.104
             22.5               22                2           -513.2          172.958           218.34          -45.987         -160.325           465.06
               23               22                2         -433.042          214.063          196.388         -78.8327         -95.4379          475.485
             23.5               22                2         -352.588          245.099          169.016         -104.355         -24.2642          470.803
               24               22                2         -273.341          265.421          137.914         -121.842           49.478          449.871
             24.5               22                2         -197.155           274.27          104.766          -130.69          121.631          411.764
               25               22                2         -125.896          272.137          71.4444         -131.448          187.861          357.991
             25.5               22                2           -61.07          260.169          39.4642         -125.256          244.744           291.38
               26               22                2         -4.15235          239.453           10.096         -113.246          289.247          214.953
             26.5               22                2           42.901           211.03         -15.2682           -96.59          317.772          132.317
               27               22                2          79.5573          177.167         -35.9099         -77.1668          329.296           48.455
             27.5               22                2          105.611          139.894         -51.3993         -56.5474          323.585         -32.2215
               28               22                2          121.104          101.161         -61.4822         -36.1284          301.003         -105.575
             28.5               22                2          125.794          63.1339         -65.7397         -17.3909          261.769          -166.57
               29               22                2          121.628          27.7277         -64.9564         -1.30016          209.738         -212.824
             29.5               22                2          110.086          -3.5502           -59.73          11.4591          148.157         -242.366
               30               22                2          92.8296         -29.4165         -50.7977          20.4228          80.7385          -253.92
             30.5               22                2          71.7419         -48.5652         -39.0454          25.2238          12.0179         -246.453
               31               22                2          49.1855         -61.0919         -25.8182          26.3731           -53.34         -222.712
             31.5               22                2          26.9601         -67.0731          -12.192          24.3139          -111.38          -184.99
               32               22                2          6.75159         -66.8025         0.745938          19.6203         -158.211         -136.179
             32.5               22                2         -9.92118         -61.0287          11.8951          13.1104         -190.317         -80.3416
               33               22                2         -22.3944         -51.2143          20.5845          5.77561          -206.77         -22.2706
             33.5               22                2         -30.2884          -38.585          26.3235         -1.56736         -207.009          33.9075
               34               22                2         -33.4345         -24.4231          28.7239         -8.10295         -190.914          83.8581
             34.5               22                2         -32.3339         -10.1648            27.85         -13.1318         -160.469          123.754
               35               22                2         -27.9541          3.03592          24.1854         -16.2852         -119.136           151.44
             35.5               22                2         -21.2401          14.2865          18.2725          -17.353         -70.3483            165.4
               36               22                2          -13.233          22.7403          10.7761         -16.2138         -18.0813          164.273
             36.5               22                2         -5.14392          28.0871          2.66068         -13.1894          32.9283          149.296
               37               22                2          2.09434          30.3517         -5.22268         -8.75013           78.752          122.621
             37.5               22                2           7.7669          29.7119         -12.1346         -3.42531          116.035          86.7674
             -2.5             22.5                2          12.5227         -9.96149          62.1183          23.1538         -185.031         -68.6561
               -2             22.5                2          10.2252         0.761228          67.1836          57.5704         -174.186         -144.847
             -1.5             22.5                2          5.32452          12.6227          64.8597           87.582         -145.895         -209.182
               -1             22.5                2         -2.21502          23.8787          54.6945          109.759         -101.391         -254.429
             -0.5             22.5                2         -11.8633          32.5154          37.4408          121.515         -44.6482         -275.483
                0             22.5                2         -22.6613          36.9731          14.8067          121.953          18.9318         -271.038
              0.5             22.5                2         -33.4918          35.9944         -11.3551           110.78          83.9884         -241.059
                1             22.5                2         -42.8154           28.357         -38.7073          88.0516          144.103         -186.378
              1.5             22.5                2         -49.0702          14.3186         -64.4453          56.2616          193.371         -113.106
                2             22.5                2         -50.9269         -5.22291         -86.1812          18.2168           227.35         -27.9188
              2.5             22.5                2         -47.2225         -28.8472         -101.788         -23.0503          242.587          62.0741
                3             22.5                2         -36.5086         -54.4016         -108.695         -63.8653          235.127          148.188
