           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
               15               -2                2           60.815          322.421          10.6038         -38.8991          -24.197         -15.0871
             15.5               -2                2           48.291          325.145          12.7628         -36.2895         -24.6984         -14.3545
               16               -2                2          37.4627          326.832          12.8725          -33.365         -26.1834         -13.0878
             16.5               -2                2          28.4816          327.856          11.3438         -29.8987         -28.3695         -11.2203
               17               -2                2          21.4784          328.492          8.68364         -25.6759         -30.9317         -8.71149
             17.5               -2                2          16.5813          328.913          5.45532         -20.5151         -33.5274         -5.54639
               18               -2                2          13.9086          329.194          2.22757         -14.3072         -35.8306         -1.74748
             18.5               -2                2          13.5336          329.314        -0.439461         -7.03585         -37.5414          2.61976
               19               -2                2          15.5318          329.155         -2.03079          1.22875          -38.401          7.46038
             19.5               -2                2          19.9276          328.513         -2.11675          10.3051         -38.2149          12.6433
               20               -2                2          26.6835          327.127         -0.40109          19.9137         -36.8737          18.0129
             20.5               -2                2           35.762          324.659          3.32579          29.7056         -34.3153          23.4026
               21               -2                2          47.0466          320.736          9.11915          39.2432         -30.5638          28.6306
             21.5               -2                2          60.2555          315.084          16.7834           48.079         -25.7709          33.5317
               22               -2                2          75.1514          307.393          26.0997          55.7887         -20.0789          37.9595
             22.5               -2                2          91.4751          297.298           36.783          61.8999         -13.6472          41.7578
               23               -2                2          108.833          284.498          48.3845           65.976         -6.69715          44.7894
             23.5               -2                2          126.733          268.972          60.3703          67.8297         0.526117          47.0042
               24               -2                2          144.719          250.644          72.2585           67.275          7.82346          48.3396
             24.5               -2                2          162.244          229.382          83.5099          64.0875          14.9951          48.7021
               25               -2                2          178.715          205.351          93.6167          58.3262          21.8608          48.0762
             25.5               -2                2          193.617          178.862          102.208          50.2118          28.2959          46.4854
               26               -2                2          206.427          150.209          108.954          39.9557          34.1941          43.9286
             26.5               -2                2          216.424          119.685          113.434          27.7471          39.4213          40.3493
               27               -2                2          223.216          87.9046          115.558          14.0779          43.9287          35.8132
             27.5               -2                2          226.467          55.4481          115.283        -0.609043          47.6676          30.3704
               28               -2                2           225.86          22.9136          112.591         -15.8839           50.576          24.0651
             28.5               -2                2          220.812         -8.93589          107.332         -31.2677          52.5036          16.9029
               29               -2                2          211.544         -39.4014          99.8133         -46.2629          53.4379          9.05244
             29.5               -2                2          198.109         -67.8058          90.1938         -60.4442          53.2992         0.646467
               30               -2                2          180.624         -93.4415          78.6367         -73.3887          51.9864         -8.15224
             30.5               -2                2          159.196         -115.381          65.2747         -84.5718          49.3275         -17.1206
               31               -2                2          134.604         -133.275          50.5039         -93.7535           45.351         -25.9723
             31.5               -2                2          107.437         -146.654          34.5984          -100.64          40.0266         -34.4197
               32               -2                2           78.363         -155.003          17.8481         -104.898          33.3302          -42.119
             32.5               -2                2           48.268         -157.896         0.627271         -106.213          25.3057         -48.6601
               33               -2                2          18.1477         -155.578         -16.6295         -104.606          16.1877         -53.7627
             33.5               -2                2         -11.0871         -148.149         -33.5023         -100.009          6.19873         -57.1285
               34               -2                2         -38.3961         -135.679         -49.4738          -92.299         -4.37493         -58.4026
             34.5               -2                2          -62.769         -118.696         -63.9784          -81.596         -15.1045         -57.3759
               35               -2                2         -83.5071          -98.053         -76.5496         -68.2474         -25.5341          -54.057
             35.5               -2                2         -99.9453         -74.5239         -86.6896         -52.5679         -35.2036         -48.4652
               36               -2                2         -111.244         -48.9533         -93.7184         -34.8992         -43.5323         -40.6158
             36.5               -2                2         -117.204         -22.5382         -97.2695         -15.9214         -50.0504         -30.8792
               37               -2                2         -117.879          3.62336         -97.1235          3.66496         -54.4048         -19.7037
             37.5               -2                2          -113.39          28.4883         -93.0958          23.1393         -56.2872         -7.56986
             -2.5             -1.5                2          -119.99           51.228          93.0913         -79.7645          50.5012         -61.2528
               -2             -1.5                2         -136.363          29.2277          103.274         -50.7314          61.2962         -42.8595
             -1.5             -1.5                2         -146.184          4.22304           109.03         -18.8697          69.4338         -22.5241
               -1             -1.5                2         -148.478         -22.8059           109.96          14.1893          74.5144         -1.29962
             -0.5             -1.5                2         -142.968         -50.5545          106.113          46.5621          76.4044          19.6144
                0             -1.5                2         -130.133         -77.7693          97.9398          76.6687          75.2553          39.2261
              0.5             -1.5                2         -110.437         -103.302          85.8294          103.139          71.1867          56.6967
                1             -1.5                2         -84.2947         -125.783          70.1105          124.407          64.2489          71.0933
              1.5             -1.5                2         -53.1665         -144.243          51.6487          139.751          54.9112          82.0036
                2             -1.5                2         -18.4236          -157.94          31.2091          148.793           43.604          89.2295
              2.5             -1.5                2           18.592         -166.233          9.50959           151.35          30.7396          92.6924
                3             -1.5                2          56.3981         -168.117         -12.6862          147.031          16.7183          92.2027
              3.5             -1.5                2          93.4152         -163.902          -34.559          136.941          2.14946          88.4234
                4             -1.5                2          128.375          -153.61         -55.4517          121.825         -12.5035           81.796
              4.5             -1.5                2          160.039         -137.327         -74.7093          102.544         -26.7678          72.8152
                5             -1.5                2          187.157         -115.294         -91.6364          80.2014         -40.1212          62.0887
              5.5             -1.5                2          209.259         -88.5171          -105.91          56.2259         -52.2069          50.3895
                6             -1.5                2          225.878         -57.7272         -117.186          31.7548         -62.6924          38.3084
              6.5             -1.5                2          236.498          -23.656         -125.055          7.94525         -71.2038          26.4212
                7             -1.5                2           241.13           12.639         -129.362         -14.1124          -77.517          15.2558
              7.5             -1.5                2          240.253          50.0835         -130.236         -33.6986         -81.6107          5.14739
                8             -1.5                2          234.246          87.7559         -127.758         -50.2538         -83.4589         -3.66111
              8.5             -1.5                2          223.351          124.656         -121.912         -63.1713         -82.9788          -10.925
                9             -1.5                2           208.49          159.912         -113.185          -72.485          -80.451         -16.6853
              9.5             -1.5                2          190.441          192.856          -102.04         -78.3711         -76.1639         -21.0433
               10             -1.5                2          169.899          222.913         -88.9422         -81.0862         -70.4205         -24.1303
             10.5             -1.5                2          147.474          249.317         -74.3622          -80.837         -63.5298         -26.0558
               11             -1.5                2          124.037          272.075          -59.062         -78.4222         -56.0291         -27.1473
