           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
               14             -1.5                2        0.0957829        0.0382109        0.0633252        -0.264313        0.0248922         0.908197
             14.5             -1.5                2        0.0933873        0.0392777        0.0773174        -0.251311       -0.0165407          0.90096
               15             -1.5                2        0.0918592        0.0390053        0.0904746        -0.238341       -0.0545308         0.890202
             15.5             -1.5                2         0.091109         0.037465         0.102907        -0.226378       -0.0892439         0.877835
               16             -1.5                2        0.0910031        0.0347084         0.113659        -0.217119        -0.118103         0.866659
             16.5             -1.5                2        0.0913255        0.0308755         0.122836        -0.210562        -0.141808         0.857733
               17             -1.5                2        0.0918355        0.0261221         0.134521         -0.20518        -0.170432         0.848918
             17.5             -1.5                2        0.0922836        0.0206088         0.143406        -0.204157        -0.190755         0.845453
               18             -1.5                2        0.0924388        0.0144943         0.150244         -0.20647        -0.204923         0.846344
             18.5             -1.5                2        0.0920922        0.0079434         0.155166        -0.211736        -0.213229          0.85117
               19             -1.5                2        0.0910624       0.00110745         0.157799        -0.219597        -0.214665         0.859451
             19.5             -1.5                2        0.0892123      -0.00586948         0.157746        -0.229459         -0.20816         0.870206
               20             -1.5                2        0.0864577       -0.0128599         0.154758        -0.240423         -0.19311         0.881879
             20.5             -1.5                2        0.0827371       -0.0197512         0.150052        -0.249742        -0.174155         0.891108
               21             -1.5                2         0.078038       -0.0264407          0.14157        -0.260358        -0.143261         0.899892
             21.5             -1.5                2        0.0724346       -0.0328492         0.129747        -0.270262        -0.102471         0.905128
               22             -1.5                2        0.0659833       -0.0389022         0.114922        -0.278463        -0.053107          0.90486
             22.5             -1.5                2        0.0587379       -0.0445075        0.0971828        -0.284333       0.00430409         0.897294
               23             -1.5                2        0.0507944       -0.0495658        0.0767825        -0.287374        0.0685681         0.880857
             23.5             -1.5                2        0.0423001       -0.0540118        0.0541946        -0.287456         0.137778         0.855015
               24             -1.5                2        0.0333686       -0.0577468        0.0297804        -0.284439         0.210209         0.819185
             24.5             -1.5                2        0.0241121       -0.0606113       0.00388263        -0.278124         0.283886         0.772596
               25             -1.5                2        0.0146843        -0.062479       -0.0229989        -0.268612         0.356425         0.715587
             25.5             -1.5                2       0.00523729       -0.0632552       -0.0503768        -0.256124         0.425686         0.649088
               26             -1.5                2      -0.00407749       -0.0628189        -0.077802        -0.240791         0.489612         0.573942
             26.5             -1.5                2       -0.0130602       -0.0609635        -0.104737        -0.222579         0.545593         0.490859
               27             -1.5                2       -0.0215203        -0.057661        -0.130641        -0.201767         0.591993         0.401751
             27.5             -1.5                2       -0.0292694       -0.0529003        -0.154997        -0.178539         0.627466         0.308341
               28             -1.5                2        -0.036104       -0.0466891        -0.177247        -0.153022         0.650774         0.212322
             28.5             -1.5                2       -0.0417002        -0.038988         -0.19651        -0.125197           0.6598         0.115602
               29             -1.5                2       -0.0459276        -0.030065        -0.212323       -0.0954441         0.654992        0.0202798
             29.5             -1.5                2        -0.048612       -0.0201411        -0.224081       -0.0640367         0.636234       -0.0717957
               30             -1.5                2       -0.0495824      -0.00949034        -0.231121       -0.0313198         0.603535        -0.158708
             30.5             -1.5                2        -0.048608       0.00152503        -0.232488       0.00221339          0.55666        -0.237997
               31             -1.5                2       -0.0457885          0.01245        -0.228106        0.0358152         0.497646        -0.308354
             31.5             -1.5                2       -0.0411608        0.0228626        -0.217673        0.0687104         0.427793        -0.368201
               32             -1.5                2        -0.034795        0.0322935         -0.20089        0.0999257         0.348513         -0.41572
             32.5             -1.5                2       -0.0268741        0.0402282        -0.177689         0.128223         0.261807         -0.44908
               33             -1.5                2       -0.0177962        0.0463642        -0.148853         0.152631         0.170505         -0.46807
             33.5             -1.5                2      -0.00792272        0.0504094        -0.115047         0.172094        0.0770828         -0.47205
               34             -1.5                2       0.00232129        0.0520491       -0.0770827         0.185314       -0.0156474        -0.460052
             34.5             -1.5                2        0.0124006        0.0511842       -0.0363758         0.191336        -0.104485        -0.432285
               35             -1.5                2        0.0218233        0.0479674       0.00542664         0.189862        -0.186689        -0.390146
             35.5             -1.5                2         0.030129        0.0425648        0.0467083         0.180605        -0.259592        -0.334828
               36             -1.5                2        0.0367755        0.0351694        0.0854987          0.16317        -0.319826        -0.267485
             36.5             -1.5                2        0.0414241         0.026301         0.119928         0.138358         -0.36536        -0.191076
               37             -1.5                2         0.043884        0.0165056         0.148479         0.107296        -0.394904        -0.108686
             37.5             -1.5                2        0.0440301        0.0063282         0.169764        0.0712442        -0.407353       -0.0234287
             -2.5               -1                2       -0.0526657        0.0934412         0.249235       -0.0438155        -0.488008        0.0903937
               -2               -1                2       -0.0760529        0.0751752         0.263571     -0.000800804         -0.52999      -0.00182631
             -1.5               -1                2       -0.0961784        0.0530427         0.263648        0.0424932        -0.545067       -0.0975991
               -1               -1                2        -0.111931        0.0280768         0.248982        0.0839934        -0.530816        -0.192619
             -0.5               -1                2        -0.122558       0.00165668         0.220658          0.12172        -0.487723        -0.282298
                0               -1                2        -0.127862        -0.024908         0.180958         0.154327        -0.418954        -0.363057
              0.5               -1                2        -0.127686        -0.050494         0.131998         0.180665        -0.327504        -0.431703
                1               -1                2         -0.12175       -0.0738727        0.0760312         0.199334        -0.216459         -0.48435
              1.5               -1                2        -0.110677       -0.0941958        0.0164844         0.210094       -0.0921799        -0.519446
                2               -1                2        -0.095126        -0.110891       -0.0436988         0.212922         0.039574        -0.536069
              2.5               -1                2       -0.0757839         -0.12353        -0.101815         0.207877          0.17329        -0.533574
                3               -1                2       -0.0532981        -0.131502        -0.154706         0.194632         0.302594        -0.510296
              3.5               -1                2       -0.0289239        -0.135201        -0.200515         0.174454         0.422303        -0.468731
                4               -1                2      -0.00358746        -0.134818        -0.237648         0.148045          0.52807        -0.410133
              4.5               -1                2        0.0217762        -0.130598        -0.264732         0.116126         0.615805        -0.335882
                5               -1                2        0.0461532        -0.122901        -0.280674        0.0795754         0.681652        -0.247805
              5.5               -1                2        0.0687912        -0.112507        -0.286175        0.0397842         0.725368        -0.149375
                6               -1                2        0.0890583       -0.0999668        -0.281711      -0.00217854         0.746479       -0.0432016
              6.5               -1                2           0.1063       -0.0857941        -0.267785       -0.0452017         0.744458        0.0680765
                7               -1                2         0.120139       -0.0706109        -0.245834       -0.0879949         0.720982         0.181248
              7.5               -1                2         0.130554       -0.0549696        -0.217727        -0.129427         0.679251         0.293406
                8               -1                2         0.137536       -0.0392981        -0.185032        -0.168459         0.621964            0.402
              8.5               -1                2         0.141007       -0.0240147        -0.149263        -0.203811         0.551587         0.504065
                9               -1                2         0.141434      -0.00943487        -0.112268        -0.234687         0.472378         0.597556
              9.5               -1                2         0.139272       0.00422448       -0.0754381        -0.260474         0.387783         0.680915
               10               -1                2          0.13497        0.0167885       -0.0399052        -0.280637         0.300792         0.752788
             10.5               -1                2         0.128947        0.0280116      -0.00682906        -0.294301         0.214381         0.811075
               11               -1                2         0.121919        0.0379147        0.0233621         -0.30192         0.130887         0.856431
             11.5               -1                2         0.114393        0.0464491        0.0503777        -0.303664        0.0519401         0.888914
               12               -1                2          0.10685        0.0535539        0.0740793        -0.299802       -0.0211598         0.908719
             12.5               -1                2         0.099774        0.0591621        0.0945166         -0.29084       -0.0874448         0.916417
               13               -1                2        0.0934871        0.0633784         0.112243        -0.277986        -0.147191         0.914193
             13.5               -1                2        0.0882267        0.0662264         0.127676        -0.262212        -0.200608         0.903682
               14               -1                2        0.0842035        0.0676819         0.141214        -0.244556        -0.247899         0.886541
             14.5               -1                2        0.0814723        0.0678079         0.153376        -0.226316        -0.289774         0.865121
               15               -1                2        0.0799363        0.0667282         0.164614        -0.208652        -0.327107         0.841741
             15.5               -1                2        0.0794835        0.0645215         0.175204        -0.192559        -0.360432         0.818364
               16               -1                2        0.0799666        0.0612402         0.184472        -0.180044        -0.387668         0.798604
             16.5               -1                2          0.08114        0.0570055         0.192546        -0.170967        -0.409837         0.783127
               17               -1                2        0.0827347        0.0519451         0.203218        -0.162809        -0.436527         0.767285
             17.5               -1                2        0.0844756        0.0461836         0.211749         -0.16004        -0.455565         0.759656
               18               -1                2         0.086107        0.0398395         0.218739        -0.161329        -0.469001         0.758457
             18.5               -1                2        0.0873953        0.0330332         0.224268        -0.166197        -0.477071         0.763084
               19               -1                2        0.0881351        0.0258703         0.227922        -0.174311        -0.478723         0.773177
             19.5               -1                2        0.0881635        0.0184491         0.229232        -0.185103        -0.472759         0.787875
               20               -1                2        0.0873682        0.0108564          0.22783        -0.197659        -0.458357         0.805608
             20.5               -1                2        0.0856592       0.00316424         0.224517        -0.208776        -0.439845         0.821389
               21               -1                2        0.0829894      -0.00455781         0.217679        -0.222129        -0.409082         0.839869
