           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
               37             12.5                2       -0.0377713        0.0298845        -0.107027        -0.367837      -0.00146883         0.299638
             37.5             12.5                2       -0.0283967        0.0414717        -0.185858         -0.32633        0.0703518          0.28004
             -2.5               13                2        0.0822504        -0.036009        -0.774481        -0.073501         0.268092         0.175967
               -2               13                2         0.107987       -0.0209025        -0.680594        -0.253985         0.215727         0.238285
             -1.5               13                2         0.124095     -0.000541247        -0.516862        -0.419229         0.139169         0.282475
               -1               13                2         0.127655        0.0234213        -0.294993         -0.55095        0.0435819         0.302198
             -0.5               13                2         0.117426        0.0483878       -0.0373388        -0.633506       -0.0620788         0.293754
                0               13                2        0.0942821        0.0716804         0.230613        -0.659124        -0.167958         0.257345
              0.5               13                2        0.0597313        0.0907802         0.484905        -0.623067        -0.264671         0.194218
                1               13                2        0.0160772         0.102754         0.698014        -0.521818        -0.341142         0.106625
              1.5               13                2       -0.0321321         0.105884         0.849403        -0.365503        -0.389386       0.00218912
                2               13                2       -0.0804619        0.0992747         0.925806        -0.167175        -0.404101        -0.111016
              2.5               13                2        -0.124528        0.0826255         0.918968         0.057836        -0.381835        -0.224378
                3               13                2        -0.158969        0.0557794         0.820429         0.289939        -0.318679        -0.326842
              3.5               13                2        -0.180819        0.0212738         0.645404         0.507105        -0.221037        -0.409422
                4               13                2        -0.187743        -0.018608         0.407441         0.690695       -0.0945759        -0.464198
              4.5               13                2        -0.178169       -0.0610416         0.124493         0.822559        0.0529375        -0.483765
                5               13                2        -0.151689        -0.102393         -0.17895          0.88537         0.210409        -0.461613
              5.5               13                2        -0.111166        -0.139283        -0.475905         0.875285         0.364934         -0.39874
                6               13                2       -0.0594177        -0.168755        -0.743252         0.790165         0.504793        -0.296343
              6.5               13                2      1.61473e-05        -0.187715        -0.956839         0.630198         0.616891        -0.156806
                7               13                2        0.0621705        -0.194122         -1.09787         0.405982         0.689757        0.0122656
              7.5               13                2         0.122329        -0.187572         -1.15842         0.134763         0.716934         0.200486
                8               13                2         0.176391         -0.16803         -1.13387        -0.166337         0.693201          0.39769
              8.5               13                2         0.219917        -0.135558         -1.02002        -0.477118         0.612375          0.59168
                9               13                2         0.250544        -0.092609        -0.829289        -0.774536         0.478111         0.769774
              9.5               13                2          0.26718       -0.0417266        -0.575782         -1.03955         0.295701          0.92138
               10               13                2         0.269564        0.0144571        -0.274681         -1.25534        0.0716463          1.03692
             10.5               13                2         0.257525        0.0730146        0.0575785         -1.40149        -0.187112          1.10391
               11               13                2         0.234346         0.130726         0.399312         -1.47399        -0.466208          1.12054
             11.5               13                2         0.202609         0.185149         0.734599         -1.46877        -0.754508           1.0842
               12               13                2         0.165197         0.234065          1.04891         -1.38431         -1.04051         0.993557
             12.5               13                2         0.125457         0.275475          1.32908         -1.22322         -1.31179          0.84966
               13               13                2        0.0865502         0.308887          1.57026         -1.00006         -1.55967          0.66178
             13.5               13                2         0.050836         0.333937          1.76963        -0.727024         -1.77726          0.43769
               14               13                2        0.0204698         0.350312          1.92573        -0.417676           -1.958         0.186354
             14.5               13                2      -0.00320138         0.358543          2.04274       -0.0906761         -2.09975       -0.0790512
               15               13                2       -0.0198778         0.359669          2.12827         0.235912         -2.20488        -0.345042
             15.5               13                2       -0.0295089         0.354468          2.18923         0.545937          -2.2763        -0.599023
               16               13                2       -0.0322207         0.343588          2.22944         0.800983         -2.31513        -0.809448
             16.5               13                2       -0.0289252         0.327999          2.25831          0.99946         -2.33307        -0.974293
               17               13                2       -0.0209175         0.308678          2.29361          1.20652         -2.33613         -1.14769
             17.5               13                2      -0.00978046         0.286618          2.32418          1.31466         -2.32507         -1.23914
               18               13                2        0.0027523         0.262821          2.35352          1.34667         -2.30626         -1.26674
             18.5               13                2          0.01493         0.238321          2.38067          1.30922         -2.28092         -1.23541
               19               13                2         0.025285         0.214068          2.40024          1.20387         -2.24814         -1.14572
             19.5               13                2        0.0328719          0.19086           2.4041          1.03647          -2.2051         -1.00195
               20               13                2        0.0374115         0.169244           2.3835         0.820235         -2.14828        -0.814881
             20.5               13                2        0.0391176         0.149563          2.34319         0.614772         -2.08814        -0.636071
               21               13                2        0.0386647         0.131938          2.25971         0.350781         -1.99599        -0.404883
             21.5               13                2        0.0369967         0.116226          2.13183         0.068568         -1.87501        -0.156198
               22               13                2        0.0348775          0.10231          1.96052        -0.209679         -1.72597        0.0905938
             22.5               13                2        0.0329821        0.0901051          1.74623        -0.469875         -1.54787         0.323131
               23               13                2        0.0318411        0.0794979          1.49416        -0.698221         -1.34291         0.529197
             23.5               13                2         0.031681        0.0703062           1.2146        -0.886126         -1.11725         0.701045
               24               13                2        0.0325875        0.0624473         0.917495         -1.02613        -0.877186         0.832018
             24.5               13                2        0.0345644        0.0558875         0.614535         -1.11009        -0.630471         0.914956
               25               13                2        0.0374206        0.0504587          0.31958         -1.13619        -0.387014         0.948201
             25.5               13                2         0.040889        0.0459187        0.0445631         -1.10714        -0.155814         0.934074
               26               13                2        0.0446973        0.0420044         -0.19973          -1.0262        0.0547454         0.875385
             26.5               13                2        0.0485181        0.0383761        -0.400639        -0.896573         0.234626         0.774899
               27               13                2        0.0519838        0.0345905        -0.552384        -0.729821         0.378414         0.642459
             27.5               13                2        0.0547613        0.0302509        -0.651839        -0.537139         0.482667         0.487489
               28               13                2        0.0565232        0.0250022        -0.697707        -0.329934         0.545269         0.319462
             28.5               13                2        0.0568167        0.0184503        -0.687537        -0.121379          0.56288         0.149083
               29               13                2        0.0554551        0.0105579         -0.63073        0.0751825         0.541575       -0.0127564
             29.5               13                2        0.0522448       0.00139266        -0.534813         0.248822         0.486091         -0.15731
               30               13                2        0.0470424       -0.0088109        -0.408689         0.389644         0.402309        -0.276743
             30.5               13                2         0.039713       -0.0195919         -0.26301         0.487126         0.297328        -0.362814
               31               13                2        0.0305503       -0.0302363        -0.111375         0.539897         0.181676        -0.414366
             31.5               13                2         0.019824       -0.0400142        0.0352529         0.546969        0.0637827         -0.43052
               32               13                2         0.007913        -0.048082         0.166045         0.509149       -0.0478572        -0.411697
             32.5               13                2      -0.00459846       -0.0535187         0.270616         0.430969        -0.144649        -0.361034
               33               13                2       -0.0170054       -0.0558246         0.343974         0.323006        -0.221379        -0.286289
             33.5               13                2       -0.0286292       -0.0545917         0.382621         0.194843        -0.274101        -0.194354
               34               13                2       -0.0386865       -0.0494916         0.384107         0.057315        -0.299469       -0.0929238
             34.5               13                2       -0.0464488        -0.040704         0.350804       -0.0768323        -0.297513       0.00876348
               35               13                2       -0.0514782       -0.0288853          0.28906        -0.196932        -0.271523         0.102774
             35.5               13                2        -0.053423       -0.0147799         0.205457        -0.294138        -0.225133         0.182495
               36               13                2       -0.0519246      0.000653825         0.107754        -0.359428        -0.162716         0.241131
             36.5               13                2       -0.0471909        0.0161025       0.00637834        -0.389336         -0.09145         0.275497
               37               13                2       -0.0396545        0.0303786       -0.0896272        -0.383982       -0.0179765         0.284913
             37.5               13                2       -0.0298538        0.0424003        -0.172357        -0.345326        0.0516632         0.269965
             -2.5             13.5                2        0.0766569       -0.0345177        -0.806347       -0.0968929         0.239025         0.181035
               -2             13.5                2         0.102939       -0.0210936        -0.699279        -0.283265          0.18678         0.236224
             -1.5             13.5                2         0.119676      -0.00243667        -0.518996         -0.45137         0.113247         0.272815
               -1             13.5                2         0.123897        0.0198778        -0.278884         -0.58209        0.0236115         0.285175
             -0.5             13.5                2         0.114327         0.043326      -0.00355364        -0.659486       -0.0735731         0.270415
                0             13.5                2         0.091844        0.0652833         0.279434        -0.676152        -0.169151         0.229387
              0.5             13.5                2        0.0579821        0.0832796         0.544292        -0.627936         -0.25446         0.163916
                1             13.5                2        0.0151009        0.0944492         0.761502        -0.512232        -0.319315        0.0769167
              1.5             13.5                2       -0.0321885        0.0971088         0.909808        -0.340754        -0.356755       -0.0238393
                2             13.5                2       -0.0793981        0.0903927         0.975917        -0.128119        -0.362362        -0.130326
              2.5             13.5                2        -0.122104         0.074037         0.952076         0.108781        -0.333489         -0.23413
                3             13.5                2        -0.154907        0.0479552         0.830707         0.348372        -0.267263        -0.324461
              3.5             13.5                2          -0.1749        0.0146682          0.62959         0.567675        -0.170321        -0.393278
                4             13.5                2        -0.179823       -0.0235344         0.364601         0.747277       -0.0485862        -0.433494
              4.5             13.5                2        -0.168221        -0.063829        0.0563429         0.868555        0.0900456        -0.438686
                5             13.5                2        -0.139872        -0.102603        -0.267591          0.91422         0.234554        -0.403572
              5.5             13.5                2       -0.0978242        -0.136569        -0.578065         0.881779         0.372778        -0.330173
                6             13.5                2       -0.0450856        -0.162861        -0.850157         0.770477          0.49365        -0.220655
              6.5             13.5                2        0.0145805        -0.178496         -1.05802          0.58231         0.584842       -0.0784985
                7             13.5                2        0.0760391        -0.181591         -1.18245         0.330342         0.635983        0.0879204
              7.5             13.5                2         0.134513        -0.171897         -1.21651        0.0341699         0.641724         0.267982
                8             13.5                2         0.185869        -0.149531         -1.15684        -0.286878         0.597886         0.451323
              8.5             13.5                2          0.22564        -0.114741         -1.00086        -0.609937         0.499564         0.625423
                9             13.5                2         0.251642       -0.0700928        -0.764148        -0.910464         0.351382         0.778253
              9.5             13.5                2         0.262984       -0.0182024        -0.463713         -1.16847         0.159416         0.899926
               10             13.5                2         0.259636        0.0382556         -0.11759         -1.36654       -0.0691159         0.981629
             10.5             13.5                2         0.241694        0.0963034         0.254373         -1.48332        -0.326171          1.01166
               11             13.5                2         0.212742         0.152861         0.628398         -1.51642         -0.59752         0.989598
             11.5             13.5                2         0.175586         0.205606         0.986841         -1.46288          -0.8719         0.913874
               12             13.5                2         0.133307         0.252473          1.31376         -1.32251         -1.13773         0.784213
             12.5             13.5                2         0.089402         0.291672          1.59509         -1.09965         -1.38268         0.602761
               13             13.5                2        0.0470118         0.322931          1.82702        -0.811299         -1.59902          0.37952
             13.5             13.5                2       0.00844721         0.346067          2.00767        -0.471548         -1.78062         0.122858
               14             13.5                2       -0.0242194          0.36094          2.13673       -0.0959761         -1.92181        -0.157651
             14.5             13.5                2       -0.0497858         0.368185           2.2206         0.294663         -2.02188        -0.448498
               15             13.5                2       -0.0680752         0.368839          2.26953          0.68061          -2.0849        -0.736142
             15.5             13.5                2       -0.0790813         0.363632           2.2929          1.04407         -2.11548         -1.00781
               16             13.5                2       -0.0828818         0.353123          2.30013          1.34121         -2.11978         -1.23065
             16.5             13.5                2       -0.0802888         0.338153          2.30216          1.57133         -2.11007         -1.40361
               17             13.5                2       -0.0724887         0.319593          2.30829          1.80976         -2.08305         -1.58281
             17.5             13.5                2       -0.0610197         0.298399          2.32323          1.93257          -2.0551         -1.67433
               18             13.5                2       -0.0476834         0.275615          2.34795          1.96646          -2.0298          -1.6977
             18.5             13.5                2       -0.0343829         0.252374          2.38058          1.91914         -2.00764         -1.65821
               19             13.5                2       -0.0227235         0.229739          2.41508           1.7924         -1.98767         -1.55661
             19.5             13.5                2       -0.0136904         0.208573          2.44152            1.593         -1.96638         -1.39749
               20             13.5                2      -0.00747205         0.189392          2.44816          1.33624         -1.93842         -1.19228
             20.5             13.5                2      -0.00366986         0.172424          2.43183          1.09234         -1.90602         -0.99676
               21             13.5                2      -0.00140521         0.157578          2.37609         0.778386         -1.84979        -0.743999
             21.5             13.5                2      0.000364665         0.144463          2.27421         0.441311         -1.76745        -0.471321
               22             13.5                2       0.00242229         0.132737          2.12451         0.106488         -1.65695        -0.199012
             22.5             13.5                2       0.00538457         0.122092          1.92601        -0.210525         -1.51569        0.0604618
               23             13.5                2       0.00960392         0.112244          1.68304        -0.494459         -1.34444         0.294754
             23.5             13.5                2        0.0150537         0.102977          1.40601        -0.735576         -1.14855         0.495853
               24             13.5                2        0.0215859        0.0941997          1.10502        -0.925365        -0.933604         0.656826
             24.5             13.5                2        0.0289497          0.08589         0.791918         -1.05443        -0.706593         0.770127
               25             13.5                2        0.0367261        0.0780018         0.481485         -1.12004        -0.477199         0.833531
             25.5             13.5                2        0.0444979        0.0704551         0.186797         -1.12436        -0.254581         0.848772
               26             13.5                2        0.0518772        0.0631352       -0.0803047         -1.07008       -0.0472768         0.818052
             26.5             13.5                2        0.0584078        0.0558533        -0.306052        -0.959619          0.13464         0.743335
               27             13.5                2        0.0637398        0.0483461        -0.483233        -0.804822         0.284918         0.633918
             27.5             13.5                2        0.0675834        0.0403567        -0.607525        -0.617306         0.399321         0.498782
               28             13.5                2         0.069669        0.0316462        -0.676558        -0.409021         0.474937          0.34702
             28.5             13.5                2        0.0695841        0.0219476        -0.686628        -0.193589         0.507624         0.188748
               29             13.5                2        0.0673118        0.0112762        -0.646548        0.0140408         0.502296        0.0350735
             29.5             13.5                2        0.0627788     -0.000256804        -0.563376         0.201692         0.462799        -0.105155
               30             13.5                2        0.0559587        -0.012386        -0.445713         0.358173         0.394166        -0.223916
             30.5             13.5                2        0.0468369       -0.0246131         -0.30397         0.471525         0.302584        -0.312754
               31             13.5                2        0.0358358       -0.0362679         -0.15238         0.539061         0.198088        -0.369724
             31.5             13.5                2        0.0233191       -0.0466412      -0.00241262          0.55879         0.088709        -0.393356
               32             13.5                2       0.00975071       -0.0549098         0.134492         0.530642       -0.0173718        -0.383449
             32.5             13.5                2      -0.00420874       -0.0601857         0.247106         0.458507        -0.111692        -0.342407
               33             13.5                2       -0.0178203       -0.0620404         0.329436         0.353024        -0.188695         -0.27726
             33.5             13.5                2       -0.0303803        -0.060118         0.377165         0.223948        -0.244125        -0.194318
               34             13.5                2       -0.0410826       -0.0541427         0.387036        0.0824394        -0.274269          -0.1007
             34.5             13.5                2       -0.0492065       -0.0443665          0.36072       -0.0579857         -0.27854      -0.00520193
               35             13.5                2       -0.0543473       -0.0315179         0.304184        -0.185708        -0.259554        0.0844311
             35.5             13.5                2       -0.0561848       -0.0164054         0.223771        -0.291016        -0.220355         0.161697
               36             13.5                2       -0.0543921     -5.81392e-05         0.127071        -0.363959        -0.164696         0.219888
             36.5             13.5                2       -0.0492366         0.016151        0.0247494        -0.400248       -0.0992171         0.255575
               37             13.5                2       -0.0412064        0.0309941       -0.0737822        -0.399469       -0.0302031         0.267752
             37.5             13.5                2       -0.0308904        0.0433586        -0.160208        -0.363237         0.036561         0.256659
             -2.5               14                2          0.07022       -0.0338086        -0.838508         -0.11738         0.207144         0.182443
               -2               14                2        0.0970397       -0.0222238        -0.718847        -0.309596         0.156657         0.230065
             -1.5               14                2         0.114527      -0.00541488          -0.5226        -0.480715        0.0880746          0.25904
               -1               14                2         0.119672        0.0151506        -0.264795        -0.610803       0.00640922         0.264519
             -0.5               14                2         0.111156        0.0370548        0.0277266        -0.683618       -0.0804397          0.24443
                0               14                2        0.0898259        0.0577481         0.325362        -0.692093        -0.164238         0.200206
              0.5               14                2        0.0572005        0.0748277         0.600528        -0.632632        -0.237244         0.134156
                1               14                2        0.0156386        0.0855138         0.821751        -0.503506        -0.290384        0.0497176
              1.5               14                2       -0.0302543        0.0881467         0.967084        -0.317959        -0.317793       -0.0454004
                2               14                2       -0.0759969        0.0818721          1.02323       -0.0921081        -0.315925        -0.143428
              2.5               14                2        -0.117179        0.0664322         0.982955         0.155658        -0.282878        -0.236353
                3               14                2        -0.148436        0.0417688         0.839597         0.401874        -0.216701        -0.313929
              3.5               14                2        -0.166921        0.0103266         0.613475         0.622679        -0.123955        -0.369175
                4               14                2        -0.170449       -0.0256539         0.322769         0.797951       -0.0105318        -0.395942
              4.5               14                2        -0.157671       -0.0634106      -0.00930159         0.908675         0.115876        -0.388865
                5               14                2        -0.128503       -0.0994186        -0.352102         0.937675         0.244728          -0.3439
              5.5               14                2       -0.0860982        -0.130517        -0.674437         0.883821         0.364905        -0.263911
                6               14                2       -0.0335733        -0.153953         -0.94968          0.74776          0.46626        -0.151854
              6.5               14                2        0.0251818        -0.166883         -1.15041         0.533316          0.53752       -0.0120678
                7               14                2        0.0849672        -0.167567         -1.25716         0.255982         0.569554         0.146648
              7.5               14                2         0.141026        -0.155869          -1.2641       -0.0623755         0.558075         0.313793
                8               14                2         0.189259        -0.132011         -1.16922        -0.400298         0.499882         0.479155
              8.5               14                2         0.225252       -0.0963686        -0.971778        -0.732356         0.391272          0.63033
                9               14                2         0.247004       -0.0515316        -0.690504         -1.03266           0.2375         0.756245
              9.5               14                2         0.253814      -0.00010808        -0.345394          -1.2804        0.0450973         0.847964
               10               14                2         0.245845        0.0552616        0.0426475          -1.4577        -0.178337         0.897647
             10.5               14                2         0.223422         0.111643         0.450301         -1.54246        -0.424047         0.894693
               11               14                2         0.190311         0.166141         0.851826         -1.53397        -0.678321         0.839932
             11.5               14                2         0.149448         0.216592          1.22792         -1.43047         -0.93007         0.732817
               12               14                2            0.104         0.261112          1.56134         -1.23314         -1.16793         0.574035
             12.5               14                2        0.0574869         0.298129          1.83718        -0.948073          -1.3799         0.366666
               13               14                2         0.012928         0.327546          2.05286         -0.59455         -1.55928         0.121015
             13.5               14                2       -0.0275074         0.349316          2.20751        -0.188454         -1.70068         -0.15432
               14               14                2       -0.0619268         0.363418          2.30207         0.252799         -1.79931        -0.449587
             14.5               14                2       -0.0893288         0.370498          2.34527         0.706571         -1.85579         -0.75151
               15               14                2        -0.109654         0.371496           2.3501          1.15156         -1.87563         -1.04701
             15.5               14                2        -0.122913         0.367008          2.32858          1.56839         -1.86498         -1.32363
               16               14                2        -0.129073         0.357412          2.29658          1.90778         -1.83484          -1.5486
             16.5               14                2        -0.128715         0.343357          2.26665          2.16973         -1.79787         -1.72171
               17               14                2        -0.122772         0.325603            2.238          2.43964         -1.74163         -1.89831
             17.5               14                2        -0.112608           0.3051           2.2343          2.57686         -1.69772         -1.98536
               18               14                2        -0.100028         0.283024          2.25363           2.6119         -1.66685         -2.00295
             18.5               14                2       -0.0870699         0.260728          2.29313          2.55349         -1.64876          -1.9565
               19               14                2       -0.0754781         0.239514            2.346          2.40372         -1.64251         -1.84694
             19.5               14                2       -0.0662528          0.22041          2.40018          2.17041         -1.64393         -1.67903
               20               14                2       -0.0594356         0.203959          2.44032          1.87122         -1.64591         -1.46442
             20.5               14                2       -0.0543702          0.19028          2.45357           1.5875         -1.64231         -1.26073
               21               14                2       -0.0499143         0.179033          2.43231          1.22236         -1.62349        -0.997779
             21.5               14                2       -0.0449157         0.169498          2.36325         0.829718         -1.58178        -0.713834
               22               14                2       -0.0385825         0.161034          2.24171         0.438156         -1.51231        -0.429255
             22.5               14                2       -0.0303786         0.153036          2.06517        0.0646191         -1.41107        -0.156134
               23               14                2       -0.0201782         0.144975          1.83709        -0.274335         -1.27756        0.0935446
             23.5               14                2      -0.00832721          0.13655          1.56806        -0.568027         -1.11627          0.31187
               24               14                2       0.00474202         0.127624          1.26835        -0.807063        -0.932088         0.491933
             24.5               14                2        0.0184765         0.118147         0.949974        -0.980949        -0.731156         0.626113
               25               14                2        0.0321754         0.108185         0.628595         -1.08612        -0.522762         0.711782
             25.5               14                2        0.0452288        0.0978259         0.318421         -1.12422        -0.316005         0.750124
               26               14                2        0.0570971        0.0871137        0.0323045         -1.09744        -0.119369         0.742766
             26.5               14                2        0.0671576        0.0760222        -0.214944         -1.00736        0.0572828         0.690948
               27               14                2        0.0750558        0.0645065          -0.4147         -0.86606         0.207102         0.603243
             27.5               14                2        0.0805319        0.0524868        -0.561461        -0.685493         0.325255         0.488014
               28               14                2        0.0833663        0.0398773        -0.651791        -0.478079         0.408207         0.353795
             28.5               14                2        0.0831758        0.0265767        -0.680773        -0.257808         0.451233          0.20995
               29               14                2        0.0801333        0.0126927        -0.656567       -0.0411386         0.458119        0.0674591
             29.5               14                2        0.0743016      -0.00159214        -0.585722          0.15858         0.431849       -0.0649872
               30               14                2        0.0657915       -0.0159576        -0.476501         0.328927         0.376622        -0.179433
             30.5               14                2        0.0547303       -0.0298466        -0.339023         0.456578         0.297713        -0.267481
               31               14                2        0.0417032       -0.0426349        -0.188067         0.537559         0.204489        -0.326613
             31.5               14                2        0.0271928       -0.0536379       -0.0355412         0.568897         0.104453        -0.354937
               32               14                2        0.0117728       -0.0620617         0.106566         0.549663       0.00533182        -0.351774
             32.5               14                2      -0.00379727       -0.0670692         0.226257         0.483111        -0.084721        -0.318893
               33               14                2       -0.0187315       -0.0683285         0.316595         0.379911        -0.160011        -0.262574
             33.5               14                2       -0.0322931       -0.0655588         0.372496          0.24996        -0.216133        -0.188508
               34               14                2       -0.0436484       -0.0585591          0.38994         0.104722        -0.249165        -0.103185
             34.5               14                2       -0.0520886       -0.0476752         0.369935       -0.0415631        -0.258038        -0.014826
               35               14                2       -0.0572536       -0.0337207         0.318075        -0.176376        -0.244773        0.0691727
             35.5               14                2       -0.0588661       -0.0175763         0.240477        -0.289179        -0.211877         0.142565
               36               14                2       -0.0566454      -0.00034715         0.144568        -0.369141        -0.162527         0.198882
             36.5               14                2       -0.0509347        0.0165408        0.0412361        -0.411194        -0.102796         0.234599
               37               14                2       -0.0422908        0.0318294       -0.0597563         -0.41443       -0.0385525         0.248485
             37.5               14                2       -0.0313646        0.0443881        -0.149704        -0.380147        0.0247373         0.240508
             -2.5             14.5                2        0.0629555       -0.0333757         -0.87004         -0.13502         0.171967         0.180636
               -2             14.5                2         0.090074       -0.0237603         -0.73862        -0.332885         0.124832           0.2202
             -1.5             14.5                2         0.108233         -0.00896        -0.527336        -0.507068        0.0630987          0.24146
               -1             14.5                2         0.114417       0.00969705        -0.252786         -0.63685      -0.00859106         0.240434
             -0.5             14.5                2          0.10727        0.0299392         0.056053        -0.705691       -0.0832484         0.215875
                0             14.5                2        0.0875706         0.049326          0.36762        -0.706829        -0.153789         0.169731
              0.5             14.5                2        0.0567795        0.0655519         0.652612         -0.63719        -0.213592           0.1047
                1             14.5                2        0.0171899        0.0759527         0.877698        -0.495863        -0.254914        0.0246037
              1.5             14.5                2        -0.026687        0.0788938          1.02027        -0.297525        -0.273048       -0.0631214
                2             14.5                2       -0.0704572        0.0735195          1.06706       -0.0597006         -0.26531        -0.151162
              2.5             14.5                2          -0.1098        0.0595524          1.01134         0.197823        -0.230459         -0.23211
                3             14.5                2        -0.139473        0.0369225         0.847354          0.44982        -0.167339        -0.296521
              3.5             14.5                2        -0.156709       0.00793363         0.597868         0.671628       -0.0821141        -0.338576
                4             14.5                2        -0.159409       -0.0252849         0.283273         0.842495        0.0196587         -0.35316
              4.5             14.5                2        -0.146312       -0.0601007       -0.0707018         0.943079         0.130834        -0.336011
                5             14.5                2         -0.11743        -0.093154        -0.430529          0.95638         0.241759        -0.284303
              5.5             14.5                2       -0.0759167        -0.121448        -0.763088         0.882595         0.342646        -0.201547
                6             14.5                2       -0.0248991        -0.142377         -1.04018         0.723745         0.424521       -0.0912809
              6.5             14.5                2        0.0317259         -0.15326         -1.23296         0.485432         0.477427        0.0415621
                7             14.5                2        0.0888239        -0.152492         -1.32183         0.185478          0.49357          0.18813
              7.5             14.5                2         0.141756        -0.139995         -1.30212        -0.152121         0.469635         0.338399
                8             14.5                2         0.186542        -0.116039         -1.17324        -0.503912         0.403279         0.482658
              8.5             14.5                2         0.218911       -0.0810578        -0.936312        -0.842065         0.291859         0.609067
                9             14.5                2         0.237046       -0.0375592        -0.613221          -1.1395         0.140868         0.707795
              9.5             14.5                2          0.24041        0.0119492        -0.226867         -1.37476       -0.0430883         0.771074
               10             14.5                2         0.229307        0.0649502          0.19904          -1.5296        -0.252412          0.79222
             10.5             14.5                2         0.204229          0.11866         0.637767         -1.58135         -0.47809         0.762026
               11             14.5                2         0.168974         0.170411          1.06177         -1.53102        -0.707311         0.682421
             11.5             14.5                2         0.126484         0.218233          1.45021         -1.37805        -0.929483         0.553801
               12             14.5                2        0.0798791         0.260445          1.78463         -1.12497         -1.13375         0.377727
             12.5             14.5                2        0.0325465         0.295689          2.04941        -0.779582         -1.30873         0.158036
               13             14.5                2       -0.0127257          0.32397          2.24324        -0.363241         -1.44869       -0.0950814
             13.5             14.5                2       -0.0540034         0.345314           2.3663         0.106583         -1.54903        -0.373159
               14             14.5                2       -0.0896726         0.359731          2.42075         0.610893         -1.60576        -0.666683
             14.5             14.5                2        -0.118979         0.367762          2.41766          1.12546         -1.62056        -0.963177
               15             14.5                2         -0.14196         0.370134          2.37271          1.62766         -1.60006          -1.2506
             15.5             14.5                2        -0.158606         0.367201          2.30064          2.09662         -1.55161         -1.51735
               16             14.5                2        -0.168702         0.359044          2.22436          2.47763         -1.49044         -1.73238
             16.5             14.5                2        -0.172452         0.346068          2.15823          2.77113         -1.42925         -1.89627
               17             14.5                2        -0.170364         0.328922          2.08999          3.07227          -1.3476         -2.06044
             17.5             14.5                2        -0.163475         0.308622          2.06503          3.22349         -1.29031         -2.13783
               18             14.5                2        -0.153498          0.28659          2.07828          3.25899         -1.25536         -2.14808
             18.5             14.5                2        -0.142575         0.264552          2.12593          3.18847         -1.24178         -2.09651
               19             14.5                2        -0.132578         0.244203          2.20029          3.01435         -1.24866         -1.98421
             19.5             14.5                2        -0.124494         0.226863          2.28683          2.74573         -1.27138         -1.81582
               20             14.5                2         -0.11817         0.213169          2.36596          2.40288         -1.30137         -1.60263
             20.5             14.5                2        -0.112632         0.203152          2.41359          2.07868         -1.32478         -1.40117
               21             14.5                2        -0.106441         0.196177           2.4324          1.66225          -1.3413         -1.14168
