#Parameters = {CPWG_cut=1.25; GND_len=30; GND_wid=5; Strip_wid=0.85; arr1_posx=10; clrGND=5; couplline_len1=0; couplline_len2=2; couplline_len3=1; couplline_pos=1.5; dip_len=3; dip_pos=3; dip_wid=0.4; dipext_len=2; feed_pos=0.3; gap=0.2; notch_len=2; patch_wid=2.6; sub_h=0.5; via_num=10}
#"Frequency / GHz"	"R1_0_0 [1] [Real/Imaginary Part] [Re]"	"R1_0_0 [1] [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------
13.060000000000	-0.015074545266103	0.011834482144442
13.090000000000	-0.014193598678071	0.012009269356493
13.120000000000	-0.013339591305819	0.012125214343135
13.150000000000	-0.012515669264137	0.012188070926888
13.180000000000	-0.011724070234275	0.012203518060041
13.210000000000	-0.010966205236418	0.012177044439719
13.240000000000	-0.010242747292089	0.012113854754163
13.270000000000	-0.0095537231287758	0.012018795183749
13.300000000000	-0.0088986053641352	0.011896295482655
13.330000000000	-0.0082764037608479	0.011750325082570
13.360000000000	-0.0076857550590451	0.011584361099591
13.390000000000	-0.0071250115005071	0.011401366778077
13.420000000000	-0.0065923284268057	0.011203779648503
13.450000000000	-0.0060857512710544	0.010993509389895
13.480000000000	-0.0056033019149999	0.010771945964184
13.510000000000	-0.0051430638242153	0.010539978945484
