#Parameters = {CPWG_cut=1.25; GND_len=30; GND_wid=5; Strip_wid=0.85; arr1_posx=10; clrGND=5; couplline_len1=0; couplline_len2=2; couplline_len3=1; couplline_pos=1.5; dip_len=3; dip_pos=3; dip_wid=0.4; dipext_len=2; feed_pos=0.3; gap=0.2; notch_len=2; patch_wid=2.6; sub_h=0.5; via_num=10}
#"Frequency / GHz"	"R1_3_1 [1] [Re]"	"R1_3_1 [1] [Im]"
#-----------------------------------------------------
14.860000000000	0.00044864163900069	0.0049441954413891
14.890000000000	0.00049669044763148	0.0048092588034882
14.920000000000	0.00053760092328366	0.0046661826376924
14.950000000000	0.00057019342909265	0.0045147684344967
14.980000000000	0.00059310429876239	0.0043549846942678
15.010000000000	0.00060481672027314	0.0041870236019160
15.040000000000	0.00060370689117690	0.0040113499727980
15.070000000000	0.00058810314588886	0.0038287385070956
15.100000000000	0.00055635474856813	0.0036402961162488
15.130000000000	0.00050690626930359	0.0034474670612607
15.160000000000	0.00043837297643149	0.0032520197963432
15.190000000000	0.00034961252161026	0.0030560156561975
15.220000000000	0.00023978837925955	0.0028617607679726
15.250000000000	0.00010842101440596	0.0026717437166504
15.280000000000	-4.4576445804007e-05	0.0024885624597847
15.310000000000	-0.00021888023231600	0.0023148447028181
15.340000000000	-0.00041375666173103	0.0021531663578334
15.370000000000	-0.00062808134536872	0.0020059727882669
15.400000000000	-0.00086037544350940	0.0018755072870862
15.430000000000	-0.0011088564385609	0.0017637506689835
15.460000000000	-0.0013715000108745	0.0016723750246700
15.490000000000	-0.0016461089740290	0.0016027136534787
15.520000000000	-0.0019303849048420	0.0015557480397592
15.550000000000	-0.0022219981053599	0.0015321115575210
15.580000000000	-0.0025186518526824	0.0015321084659693
15.610000000000	-0.0028181374964175	0.0015557457795155
15.640000000000	-0.0031183778000205	0.0016027748305514
15.670000000000	-0.0034174569212901	0.0016727388449238
15.700000000000	-0.0037136365075510	0.0017650226499360
15.730000000000	-0.0040053584564138	0.0018789007401935
15.760000000000	-0.0042912358794140	0.0020135803208142
15.790000000000	-0.0045700346279870	0.0021682365910493
15.820000000000	-0.0048406483384022	0.0023420383657639
15.850000000000	-0.0051020702829720	0.0025341630849827
15.880000000000	-0.0053533653598532	0.0027438012522389
15.910000000000	-0.0055936453173217	0.0029701512887072
15.940000000000	-0.0058220498176152	0.0032124066152416
15.970000000000	-0.0060377352476211	0.0034697374129227
16.000000000000	-0.0062398723423558	0.0037412699155865
16.030000000000	-0.0064276527765859	0.0040260662263046
16.060000000000	-0.0066003039788901	0.0043231075175981
16.090000000000	-0.0067571106077975	0.0046312830885562
16.120000000000	-0.0068974404699473	0.0049493871483020
16.150000000000	-0.0070207722102552	0.0052761244294641
16.180000000000	-0.0071267219004017	0.0056101248755166
16.210000000000	-0.0072150657100482	0.0059499667673978
16.240000000000	-0.0072857561583352	0.0062942068340332
16.270000000000	-0.0073389299832334	0.0066414151992635
16.300000000000	-0.0073749063859928	0.0069902125139693
16.330000000000	-0.0073941752450577	0.0073393063506019
16.360000000000	-0.0073973757763966	0.0076875239218491
16.390000000000	-0.0073852669694373	0.0080338384282402
16.420000000000	-0.0073586918764549	0.0083773868217842
16.450000000000	-0.0073185384135761	0.0087174774548159
16.480000000000	-0.0072656996927911	0.0090535869088288
16.510000000000	-0.0072010370137562	0.0093853461987382
16.540000000000	-0.0071253484898613	0.0097125174487407
16.570000000000	-0.0070393458749358	0.010034962961288
16.600000000000	-0.0069436415260122	0.010352609281086
16.630000000000	-0.0068387466332338	0.010665409333312
16.660000000000	-0.0067250809343039	0.010973305947646
16.690000000000	-0.0066029931811844	0.011276200045020
16.720000000000	-0.0064727907178493	0.011573926461773
16.750000000000	-0.0063347757337742	0.011866239837193
16.780000000000	-0.0061892851436882	0.012152812236423
16.810000000000	-0.0060367306610729	0.012433243279266
16.840000000000	-0.0058776355138994	0.012707082566603
16.870000000000	-0.0057126644081723	0.012973863216396
16.900000000000	-0.0055426437681916	0.013233144417661
16.930000000000	-0.0053685699410672	0.013484560154481
16.960000000000	-0.0051916038973209	0.013727870702976
16.990000000000	-0.0050130519250308	0.013963013205716
17.020000000000	-0.0048343328279825	0.014190147604393
17.050000000000	-0.0046569331210256	0.014409694465096
17.080000000000	-0.0044823525930669	0.014622361742037
17.110000000000	-0.0043120433130575	0.014829158255725
17.140000000000	-0.0041473456337880	0.015031392554113
17.170000000000	-0.0039894249669680	0.015230656811472
17.200000000000	-0.0038392130461555	0.015428796424032
17.230000000000	-0.0036973570684408	0.015627866907343
17.260000000000	-0.0035641795391820	0.015830080516398
17.290000000000	-0.0034396508829011	0.016037745635494
17.320000000000	-0.0033233759889032	0.016253202375393
17.350000000000	-0.0032145949032448	0.016478757944844
17.380000000000	-0.0031121969344394	0.016716625226798
17.410000000000	-0.0030147465818189	0.016968867602890
17.440000000000	-0.0029205189880116	0.017237352468863
17.470000000000	-0.0028275421128168	0.017523715121008
17.500000000000	-0.0027336425599277	0.017829333834156
17.530000000000	-0.0026364919758168	0.018155316066920
17.560000000000	-0.0025336511760226	0.018502494892361
17.590000000000	-0.0024226096122430	0.018871434029750
17.620000000000	-0.0023008184302013	0.019262439302876
17.650000000000	-0.0021657161251644	0.019675574014597
17.680000000000	-0.0020147466118302	0.020110675629773
17.710000000000	-0.0018453703169843	0.020567371302758
17.740000000000	-0.0016550696079382	0.021045090154262
17.770000000000	-0.0014413504264190	0.021543070759493
17.800000000000	-0.0012017423583783	0.022060363003190
17.830000000000	-0.00093379950425001	0.022595824223980
17.860000000000	-0.00063510441029858	0.023148110340701
17.890000000000	-0.00030327698910030	0.023715663357094
17.920000000000	6.4010174901593e-05	0.024296697214044
17.950000000000	0.00046900942389932	0.024889184346976
17.980000000000	0.00091386859625992	0.025490845472295
18.010000000000	0.0014005954358501	0.026099145051865
18.040000000000	0.0019310174639620	0.026711294570106
18.070000000000	0.0025067395743091	0.027324265226634
18.100000000000	0.0031291020732007	0.027934810939735
18.130000000000	0.0037991421268096	0.028539501729413
18.160000000000	0.0045175615677537	0.029134766671472
18.190000000000	0.0052847037467796	0.029716944760022
18.220000000000	0.0061005416064082	0.030282341258453
18.250000000000	0.0069646784367462	0.030827286525348
18.280000000000	0.0078763619021273	0.031348193926948
18.310000000000	0.0088345109676141	0.031841613329971
18.340000000000	0.0098377543822061	0.032304276825635
18.370000000000	0.010884478469223	0.032733133763948
18.400000000000	0.011972881208509	0.033125372850525
18.430000000000	0.013101029035027	0.033478429930286
18.460000000000	0.014266912474262	0.033789981090164
18.490000000000	0.015468496717471	0.034057921781106
18.520000000000	0.016703763518206	0.034280333706632
18.550000000000	0.017970741351372	0.034455442169333
18.580000000000	0.019267521581027	0.034581567332994
18.610000000000	0.020592259376866	0.034657073383711
18.640000000000	0.021943159230131	0.034680319813582
18.670000000000	0.023318446065436	0.034649618981441
18.700000000000	0.024716324039880	0.034563203726407
18.730000000000	0.026134926081457	0.034419208145227
18.760000000000	0.027572257971299	0.034215663739056
18.790000000000	0.029026141259500	0.033950512053968
18.820000000000	0.030494159483047	0.033621633760559
18.850000000000	0.031973612010115	0.033226892928311
18.880000000000	0.033461479375836	0.032764194137810
18.910000000000	0.034954403232207	0.032231549121606
18.940000000000	0.036448683062683	0.031627148903411
18.970000000000	0.037940290680952	0.030949436969667
19.000000000000	0.039424902326728	0.030197178889679
19.030000000000	0.040897946978020	0.029369524009210
19.060000000000	0.042354668407143	0.028466055361612
19.090000000000	0.043790197597039	0.027486824730498
19.120000000000	0.045199631471364	0.026432370798811
19.150000000000	0.046578113523506	0.025303719454974
19.180000000000	0.047920911880516	0.024102366511935
19.210000000000	0.049223490607886	0.022830244240332
19.240000000000	0.050481570625421	0.021489674137469
19.270000000000	0.051691177415953	0.020083309174187
19.300000000000	0.052848673701505	0.018614069323445
19.330000000000	0.053950776356148	0.017085074439234
19.360000000000	0.054994557934593	0.015499578508096
19.390000000000	0.055977434233529	0.013860908948387
19.420000000000	0.056897140188496	0.012172414018676
19.450000000000	0.057751697075233	0.010437420571758
19.480000000000	0.058539374382113	0.0086592034264625
19.510000000000	0.059258649822833	0.0068409666085289
19.540000000000	0.059908170763881	0.0049858357209531
19.570000000000	0.060486719872042	0.0030968598271689
19.600000000000	0.060993187088922	0.0011770205410610
19.630000000000	0.061426549176946	-0.00077075442592265
19.660000000000	0.061785857133341	-0.0027435761713629
19.690000000000	0.062070230821838	-0.0047385807381999
19.720000000000	0.062278859313217	-0.0067529188386376
19.750000000000	0.062411004735828	-0.0087837508586971
19.780000000000	0.062466006982918	-0.010828247983958
19.810000000000	0.062443286452815	-0.012883599323087
19.840000000000	0.062342342135158	-0.014947023917827
19.870000000000	0.062162742800012	-0.017015785608491
19.900000000000	0.061904109768717	-0.019087207961393
19.930000000000	0.061566090693197	-0.021158685937844
19.960000000000	0.061148324870270	-0.023227690754670
19.990000000000	0.060650401779853	-0.025291764492712
20.020000000000	0.060071815662227	-0.027348501465093
20.050000000000	0.059411919940071	-0.029395514145724
20.080000000000	0.058669886052174	-0.031430382537521
20.110000000000	0.057844671718398	-0.033450587160550
20.140000000000	0.056935003740695	-0.035453427274003
20.170000000000	0.055939380129769	-0.037435927408787
20.200000000000	0.054856095627459	-0.039394736668968
20.230000000000	0.053683293597457	-0.041326026451005
20.260000000000	0.052419045837064	-0.043225393129078
20.290000000000	0.051061460202132	-0.045087772779788
20.320000000000	0.049608814138177	-0.046907375110206
20.350000000000	0.048059710389341	-0.048677643378470
20.380000000000	0.046413249435167	-0.050391246255960
20.410000000000	0.044669211702799	-0.052040106307116
20.440000000000	0.042828241426996	-0.053615468119954
20.470000000000	0.040892023272007	-0.055108007197177
20.500000000000	0.038863442551341	-0.056507978625319
20.530000000000	0.036746720117673	-0.057805402401905
20.560000000000	0.034547513745980	-0.058990280248314
20.590000000000	0.032272979066176	-0.060052836895165
20.620000000000	0.029931784752753	-0.060983777312317
20.650000000000	0.027534078657417	-0.061774550261755
20.680000000000	0.025091403763880	-0.062417607947581
20.710000000000	0.022616565126012	-0.062906651461176
20.740000000000	0.020123451190212	-0.063236852176580
20.770000000000	0.017626814972294	-0.063405040213213
